name,cpf,age,birthday,address,state,country
Mathias Rezende,786.039.251-86,31,2002-11-27,"Área Vinicius Costela, 86
Pompéia
69589650 Nascimento do Galho / PB",Maranhão,Kuwait
Joana Monteiro,805.214.367-53,42,2004-11-29,"Alameda Guilherme Martins, 97
Vila Madre Gertrudes 3ª Seção
25212041 Pinto / AP",Santa Catarina,Ilha de Man
Cecilia Siqueira,726.031.584-90,41,2001-08-02,"Praia de Albuquerque, 8
Milionario
78048515 Câmara / BA",Acre,Libéria
Yan Vasconcelos,298.567.310-03,50,1985-06-17,"Rodovia Rios, 47
Álvaro Camargos
05963633 Gonçalves / PE",Acre,Ilhas Turcas e Caicos
Dr. Fernando Moraes,704.831.926-78,28,1995-03-22,"Área Raquel da Luz, 915
Havaí
07530837 Correia da Serra / PR",Bahia,União Europeia
Oliver Pacheco,351.490.678-57,20,1971-12-23,"Feira Fernandes, 30
Frei Leopoldo
51370420 Leão / MS",Distrito Federal,Micronésia
Sra. Juliana Araújo,369.108.427-31,50,1966-05-13,"Via Sampaio, 17
Vila Dos Anjos
30442858 Castro / ES",Minas Gerais,Líbia
Olívia Farias,384.260.971-03,34,1997-03-04,"Lago Silveira, 59
Santana Do Cafezal
83097217 Moura de da Mata / SP",Paraná,Marianas do Norte
Arthur da Cruz,960.258.314-24,41,1988-09-30,"Praça Isis Lima, 58
Brasil Industrial
43824-322 Sales / PA",Sergipe,Sara Ocidental
Stephany Cassiano,938.512.670-95,18,1982-01-15,"Setor Danilo Marques, 96
Jardim Atlântico
65312808 Vieira / AC",Acre,Samoa
Sr. Diogo Novaes,594.872.106-01,23,2005-12-07,"Jardim Melo, 11
Monte São José
15658880 da Luz / SC",Rio de Janeiro,Áustria
Sr. João Rios,506.219.374-52,46,2004-09-18,"Lagoa Renan Viana
Vila Aeroporto Jaraguá
49790-664 da Mata Verde / PI",Pará,Hong Kong
Sra. Maria Alice Pinto,145.269.730-25,44,1987-08-17,"Trevo de Machado, 469
Vila Do Pombal
84547544 Lima das Pedras / GO",Pará,Níger
Pietra Cardoso,560.143.897-84,36,1986-05-26,"Viaduto de Camargo, 36
Vila Independencia 2ª Seção
25925-217 Pacheco / AP",Piauí,Territórios Austrais Franceses
Ana Alves,753.148.620-26,51,1975-09-02,"Setor Augusto Sales, 76
Jardim Felicidade
08438655 Fernandes de Farias / PE",Goiás,Dhekelia
Emanuelly Albuquerque,675.813.902-68,34,2006-10-22,"Praça Vitor Teixeira, 7
Camponesa 1ª Seção
92494-494 Ramos dos Dourados / DF",Santa Catarina,Nova Zelândia
Heloisa Machado,157.462.830-53,53,2001-06-19,"Parque de da Cruz, 2
Vila Boa Vista
22014525 Brito / TO",Mato Grosso do Sul,Honduras
Brenda da Paz,268.150.947-58,42,1982-09-16,"Lagoa da Mota, 80
Colégio Batista
16041579 Pinto / GO",Roraima,Tuvalu
Nicole Novais,583.291.067-21,53,2003-03-15,"Distrito de Duarte
Santa Helena
96703364 Nascimento Alegre / RO",Mato Grosso,Tunísia
Lunna Mendes,739.120.468-40,38,1987-01-27,"Sítio Ana Clara Fernandes
Nova Esperança
11879711 Mendonça / PI",Piauí,Ilhas Caiman
Sofia Costela,497.082.516-58,19,1988-11-04,"Vila de Sá, 73
Jardim Leblon
75704738 Santos / RJ",Acre,Costa do Marfim
Yan Martins,065.932.841-06,58,1969-01-06,"Lago de Monteiro, 38
Novo Das Industrias
60010-547 Cassiano / RN",Mato Grosso do Sul,Chade
Stephany Fernandes,827.091.546-76,33,1988-07-14,"Recanto Novaes, 41
Vila Real 1ª Seção
50672-648 Ramos da Mata / RN",Rio Grande do Norte,Liechtenstein
Ana Liz Borges,910.432.758-60,60,1979-02-03,"Distrito Davi Ribeiro, 84
Tupi A
78898152 Rezende / MT",São Paulo,Tokelau
Vitor Gabriel Mendes,528.940.367-10,25,2005-09-08,"Morro de Câmara, 4
Buritis
49595819 Fernandes Grande / AL",Roraima,Libéria
Vitor Vieira,702.963.845-00,27,1988-11-09,"Parque Paulo da Paz, 43
Conjunto Lagoa
54365-836 Viana / SC",Alagoas,Cuba
Ravi Oliveira,432.056.978-47,19,1971-10-28,"Rua de Montenegro
São Luiz
14593-361 Azevedo / MA",São Paulo,Tunísia
Asafe Moreira,612.598.370-68,51,1972-05-14,"Núcleo Correia, 926
Rio Branco
39803442 Melo de Goiás / PA",Paraíba,Salvador
Heloísa Casa Grande,479.068.321-40,43,1984-01-15,"Parque de Cassiano, 117
Sagrada Família
19699338 Leão / SC",Ceará,Trindade e Tobago
Bernardo Pastor,052.934.687-74,22,1989-06-25,"Jardim Fernando Sampaio, 72
Santa Lúcia
04952593 Gonçalves / MA",Piauí,Portugal
Heitor Ramos,648.219.570-94,47,2000-07-24,"Área Bento Pinto, 23
Santa Tereza
45132-907 Macedo de Abreu / MT",Maranhão,Suazilândia
Maria Clara Rios,175.964.328-91,41,1966-04-08,"Vila Costela, 9
Vila Nova Cachoeirinha 1ª Seção
79555372 da Rosa / BA",Tocantins,República Dominicana
Joaquim Sales,479.615.082-01,33,1997-03-29,"Quadra Maria Luísa Sampaio, 325
Vista Do Sol
18424274 Melo dos Dourados / ES",Santa Catarina,Svalbard e Jan Mayen
Laura Pereira,547.061.293-70,23,1965-03-22,"Alameda Evelyn Ramos, 33
Manacas
68430962 Correia do Sul / MG",Paraíba,Ilha Bouvet
Emanuella Rios,031.925.786-02,51,2002-05-19,"Rodovia Lopes, 37
Frei Leopoldo
23139-330 Sampaio / CE",Pernambuco,África do Sul
Larissa Pires,986.137.502-30,40,1998-03-10,"Sítio Nogueira, 60
Lorena
23907-138 Castro / AM",Alagoas,Uganda
Maria Laura Borges,782.453.610-62,49,1980-05-04,"Lagoa de Cassiano, 628
Bacurau
44795-700 Jesus do Oeste / MT",Rio Grande do Sul,Senegal
Theo Fonseca,152.693.074-99,43,1972-09-28,"Viaduto de Vieira
Nova America
87231-050 Correia da Serra / PE",Piauí,Monserrate
Vinícius Brito,290.756.831-03,42,1989-06-18,"Rodovia Borges
Glória
04026-286 Vieira / DF",Piauí,Sérvia
Ester da Rocha,213.456.789-91,56,1990-02-22,"Praia Cecilia Rios, 59
Cabana Do Pai Tomás
96439989 Machado Verde / SE",Roraima,Emirados Árabes Unidos
Mariane da Cunha,083.154.269-15,30,1978-04-03,"Recanto Valentim Nunes, 792
Cônego Pinheiro 1ª Seção
31057-782 Pimenta das Pedras / MG",Amapá,São Pedro e Miquelon
Arthur Gabriel Moura,056.317.842-62,22,2001-06-04,"Aeroporto de Guerra, 658
Milionario
27897-960 Cavalcanti de Cirino / SE",Maranhão,Dinamarca
Ana Julia Brito,045.983.172-05,19,2006-03-29,"Rodovia Ana Cecília Castro, 55
Tupi B
02811-036 Melo / MS",Pernambuco,Suazilândia
Luiz Otávio Caldeira,396.715.824-19,51,1971-03-28,"Distrito de Pacheco, 33
Sport Club
27136-796 Fogaça do Norte / ES",Mato Grosso do Sul,Suíça
João Guilherme Andrade,647.321.058-07,40,1980-01-17,"Jardim Clara Câmara, 9
Ouro Preto
43123-480 Melo das Flores / RJ",Acre,Costa do Marfim
Antony Alves,415.620.973-34,27,1964-06-03,"Quadra Sales, 6
Pilar
00794427 Pacheco / SC",Mato Grosso do Sul,Tokelau
Camila Barros,025.613.894-05,49,2002-01-15,"Morro de Almeida, 24
Pindorama
65928791 Aragão / AM",Espírito Santo,Santa Helena
Emanuelly Aragão,420.867.935-29,42,1997-03-31,"Condomínio Gael Viana, 7
São Francisco
94430657 Sampaio da Prata / AL",Amazonas,Tokelau
Sr. Lucca Martins,984.217.603-78,47,2004-07-24,"Esplanada de Mendes, 93
Carlos Prates
26550-289 Cardoso / RN",Sergipe,Grécia
Ana Beatriz Costa,698.537.120-59,22,1987-11-04,"Jardim de Pastor, 39
Vila Cloris
66509-472 Monteiro / PA",Ceará,Chipre
Yago Abreu,698.514.327-09,29,1975-05-12,"Estação Cardoso, 83
Cidade Nova
50682666 da Cruz / RR",Pará,Ilhas Heard e McDonald
José Sousa,179.308.425-41,44,1971-12-01,"Esplanada Yago Borges
Buritis
03397-080 Lopes / MG",Espírito Santo,Dhekelia
Catarina Vasconcelos,067.482.951-49,28,1972-05-27,"Sítio Macedo, 32
Vila Nova Gameleira 1ª Seção
81917-621 Gomes / SE",Santa Catarina,Suazilândia
Marcela da Rosa,078.632.495-38,44,2000-10-25,"Praia Lucas Pinto, 96
Nossa Senhora Da Aparecida
19437866 Pastor de Cirino / AM",Rio Grande do Norte,Ilhas Heard e McDonald
Vitor Gabriel Oliveira,789.016.425-49,42,1996-01-06,"Praia Otto Camargo, 26
Maria Helena
11190-212 Farias / ES",Mato Grosso do Sul,Tanzânia
Asafe Teixeira,418.257.630-62,33,2000-04-12,"Rodovia Pedro Henrique da Cunha
Vila Esplanada
63541-939 Andrade de Goiás / RJ",Tocantins,Haiti
Isaque Melo,375.182.496-00,40,1991-09-28,"Loteamento de Pinto, 19
Palmares
19046-588 Monteiro do Oeste / PR",Sergipe,Territórios Austrais Franceses
Joana Pastor,390.724.156-80,34,1998-04-08,"Vereda Andrade, 5
Sagrada Família
67208500 Correia / SP",Rio de Janeiro,Ilhas Turcas e Caicos
Ísis Cassiano,948.752.301-41,45,2001-05-22,"Vale Carvalho, 93
São Gabriel
06861459 Novais / DF",Distrito Federal,Territórios Austrais Franceses
Bruna da Rosa,327.405.618-90,24,1996-01-05,"Trecho de Moraes, 41
Embaúbas
35098-264 Pinto da Prata / ES",Ceará,Suécia
Renan Teixeira,485.136.720-17,57,1989-10-05,"Praça de Campos, 95
Solar Do Barreiro
32075733 Pimenta Verde / AP",Goiás,Tailândia
Sra. Isabella Câmara,789.132.065-95,51,1968-12-19,"Distrito Cavalcante
Vila Bandeirantes
49859092 Cavalcante / SP",Minas Gerais,África do Sul
Benjamim Oliveira,028.175.469-11,49,1971-08-22,"Feira de Cardoso, 67
Maravilha
33448006 da Mota de Pires / DF",Alagoas,Eslovênia
Giovanna Marques,954.871.623-28,41,1974-04-07,"Travessa de Moraes, 58
Gameleira
87242683 Fernandes de Goiás / RO",Amazonas,São Tomé e Príncipe
Sr. Lucas Gabriel da Mata,980.426.371-87,27,1975-02-01,"Conjunto de Sales
João Paulo Ii
31949132 Pereira das Pedras / RO",Mato Grosso do Sul,Cuba
Sabrina Azevedo,957.084.613-57,60,1982-04-18,"Condomínio Caio Sampaio, 2
Nova Suíça
79116847 da Mota da Praia / CE",Acre,Chipre
Sarah da Conceição,861.027.953-77,47,1968-02-08,"Rodovia de Carvalho, 57
São José
67700956 das Neves Paulista / RN",Rondônia,Lesoto
Ana Carolina da Costa,635.124.807-80,18,1977-08-03,"Alameda de Machado, 8
Vila Engenho Nogueira
89750009 Cardoso do Oeste / ES",Pernambuco,Ilha Norfolk
Sra. Júlia Abreu,679.431.205-07,48,2002-01-11,"Chácara de Nunes, 65
Lagoa
56985-216 Gonçalves do Norte / ES",Tocantins,Mongólia
Srta. Rafaela Pereira,623.158.497-64,28,2002-09-14,"Aeroporto de Cavalcanti, 3
Santa Rita De Cássia
89577-617 Ribeiro / ES",Pará,Brunei
Maria Julia Costela,834.267.901-22,19,1990-12-03,"Vale de Leão, 2
Dona Clara
94706466 Rodrigues / RS",Rio de Janeiro,Grécia
Bernardo das Neves,653.149.872-28,22,1997-01-15,"Estrada Julia da Cunha, 337
Vila Bandeirantes
01499538 Câmara / MT",São Paulo,Bósnia e Herzegovina
Gael Mendes,167.024.895-01,36,2000-08-23,"Largo de Rios, 86
Vila São Paulo
52064-722 Pimenta de Minas / AL",Roraima,França
Nicolas Porto,450.183.762-44,32,2006-11-05,"Parque de Caldeira
Ipe
77606473 Jesus do Sul / AC",Rio Grande do Sul,Irlanda
Luísa Monteiro,816.023.547-07,32,2003-10-07,"Parque Mendes, 3
Palmeiras
02146446 da Cruz / TO",Espírito Santo,Malávi
Catarina Castro,624.387.591-19,38,1965-06-09,"Avenida Costa, 4
Aeroporto
17147-389 Costela Verde / AL",Santa Catarina,Ilhas Heard e McDonald
Luísa Porto,678.295.301-30,24,1994-12-01,"Quadra de Silveira, 445
Vila Bandeirantes
90329885 Leão / SP",Paraná,Andorra
Bento da Rosa,680.394.517-01,36,1967-02-12,"Lago de Pinto
Canadá
78263-344 Ribeiro / RO",Alagoas,Taiwan
Srta. Alexia Campos,697.801.532-68,30,1998-01-04,"Chácara de Cardoso, 82
Jardim Vitoria
77863847 Machado / TO",Amazonas,Bangladesh
